ENSEMBL	SYMBOL	TXCHROM	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000042035	Igsf3	chr3	-1.59972682802688	4.46874359290881	-6.27542930013791	6.28911874975154e-05	0.853999435028761	-4.1305233089583
ENSMUSG00000028238	Atp6v0d2	chr4	0.859856684874988	8.59527093237466	5.39934823780299	0.000223803301307583	0.999691296273799	-3.33867477459461
ENSMUSG00000030433	Sbk2	chr7	1.15067809643078	5.9956166734237	5.10882861897187	0.000349158467478975	0.999691296273799	-3.67288872362336
ENSMUSG00000070619	Pramel31	chr4	-3.65720171686717	1.07271548560102	-5.0635025260184	0.000374652267262174	0.999691296273799	-4.51527072330425
ENSMUSG00000009941	Nxf2	chrX	1.05837784516321	4.49670197974463	4.9047063224809	0.000480674888388723	0.999691296273799	-3.99803777668861
ENSMUSG00000005268	Prlr	chr15	-2.0400481935974	3.25275374666224	-4.44317694213727	0.00101178594920556	0.999691296273799	-4.38274192398072
ENSMUSG00000059562	Ccdc154	chr17	-2.30065136637208	3.34474354495069	-4.40218349216752	0.00108245536925785	0.999691296273799	-4.37635559231457
ENSMUSG00000055632	Hmcn2	chr2	0.745977489534102	5.73106980932541	4.18963967305905	0.00154159307922299	0.999691296273799	-3.88230560247597
ENSMUSG00000020260	Pofut2	chr10	1.13691004543149	3.36690013492709	4.08970345270201	0.0018240414306621	0.999691296273799	-4.31737337800488
ENSMUSG00000024335	Brd2	chr17	-1.56854733023877	3.70551943125385	-4.04269351219192	0.00197509646497331	0.999691296273799	-4.33515124854857
ENSMUSG00000031386	Hcfc1	chrX	0.945368773033482	4.16438194080359	4.00913941708369	0.00209084535915643	0.999691296273799	-4.21306253093157
ENSMUSG00000003731	Kpna6	chr4	-0.733981164796522	5.52148914652527	-4.00488453321721	0.00210601976670501	0.999691296273799	-4.00095513590275
ENSMUSG00000032827	Ppp1r9a	chr6	0.650832571459038	6.06336776887998	3.96062265325292	0.0022708415068425	0.999691296273799	-3.86629434711176
ENSMUSG00000041143	Tmco4	chr4	1.70239400501291	3.30209314863406	3.95243825505713	0.00230276002609944	0.999691296273799	-4.38017037996048
ENSMUSG00000019935	Slc17a8	chr10	0.563041186786775	7.98825580396759	3.90612778200561	0.00249236592520331	0.999691296273799	-3.66705625056117
ENSMUSG00000053508	Gtsf2	chr15	0.598547390653208	6.77970978421085	3.90208525214441	0.00250966900085232	0.999691296273799	-3.75129262910776
ENSMUSG00000027575	Arfgap1	chr2	-1.83649793521476	3.02639715401648	-3.89813780526097	0.00252668549499277	0.999691296273799	-4.43279185452671
ENSMUSG00000036636	Clcn7	chr17	-1.94086914331141	3.58653818441432	-3.89812395832734	0.00252674539619859	0.999691296273799	-4.36439570867556
ENSMUSG00000045573	Penk	chr4	-0.598545854911969	6.32278824993401	-3.87577880307906	0.00262535690838338	0.999691296273799	-3.80478718840118
ENSMUSG00000041272	Tox	chr4	-1.69666642248677	5.09955917978519	-3.81138006065423	0.00293251788236072	0.999691296273799	-4.13523094877164
ENSMUSG00000026553	Copa	chr1	-0.71755253266678	6.24776624477182	-3.69137321920927	0.00360823584117595	0.999691296273799	-3.92746671279579
ENSMUSG00000076441	Ass1	chr2	0.833345957191931	5.82430384495956	3.68025909774887	0.00367846980678427	0.999691296273799	-3.95653825620066
ENSMUSG00000020397	Med7	chr11	-1.07128587059153	3.91928568636467	-3.67997654230028	0.00368027366372681	0.999691296273799	-4.33472449883799
ENSMUSG00000028211	Trp53inp1	chr4	-0.96421033344123	9.56556217431983	-3.67464697712846	0.00371446967159707	0.999691296273799	-3.70679587808286
ENSMUSG00000035285	Nat14	chr7	0.805277717918027	5.18457425553392	3.67451047376867	0.00371534981248065	0.999691296273799	-4.05503125087536
ENSMUSG00000028163	Nfkb1	chr3	0.722214250559382	6.20313361488284	3.65939138491074	0.0038141789389945	0.999691296273799	-3.89315859384462
ENSMUSG00000025085	Ablim1	chr19	-0.515751638346614	7.27121417874718	-3.59868783371963	0.00423909595686663	0.999691296273799	-3.79612753623109
ENSMUSG00000028700	Pomgnt1	chr4	-1.76325050327392	2.87377816165969	-3.55947583608955	0.00453924341471093	0.999691296273799	-4.46190962531389
ENSMUSG00000055360	Prl2c5	chr13	0.593112143748176	6.01636316235927	3.51723002356919	0.00488718262999948	0.999691296273799	-3.9500465837311
ENSMUSG00000072720	Myo18b	chr5	0.547204578223583	7.11046588393097	3.51655324355324	0.00489297455537021	0.999691296273799	-3.83845924192816
ENSMUSG00000018008	Cyth4	chr15	-1.1562811051628	5.99590798149354	-3.50860984767977	0.00496148429327942	0.999691296273799	-3.99667160455788
ENSMUSG00000020399	Havcr2	chr11	-0.871264582360501	4.36468578529173	-3.4725354910616	0.00528523797549418	0.999691296273799	-4.30491720520817
ENSMUSG00000070305	Mpzl3	chr9	-1.80254083166081	5.00503042023054	-3.45882426036612	0.0054139100127441	0.999691296273799	-4.21173262357497
ENSMUSG00000041870	Ankrd13a	chr5	0.721478101296964	6.48991951097904	3.42846001158065	0.0057104239386305	0.999691296273799	-3.89175060563892
ENSMUSG00000110404	Rnf223	NA	1.10110469688123	3.46748548879471	3.39560824859812	0.0060500280400881	0.999691296273799	-4.39357849664471
ENSMUSG00000051790	Nlgn2	chr11	4.87273140775344	-1.91712816840498	3.39244751506929	0.00608377434619238	0.999691296273799	-4.58548563104516
ENSMUSG00000054523	Ms4a5	chr19	-0.875708749125392	5.52262613253053	-3.35738127667181	0.00647134882341059	0.999691296273799	-4.10670656384944
ENSMUSG00000114245	Percc1	chr17	-1.80027037354488	2.9581486622423	-3.35112617769016	0.00654309494093551	0.999691296273799	-4.44877044428722
ENSMUSG00000043727	F830045P16Rik	chr2	0.499275151616616	6.2907114616737	3.30181328685113	0.00713794945510879	0.999691296273799	-3.9314979315819
ENSMUSG00000003382	Etv3	chr3	-2.19703046285266	2.65274109018661	-3.30120334156075	0.00714564315963834	0.999691296273799	-4.48026592313614
ENSMUSG00000028460	Sit1	chr4	-1.15077445123182	3.33875530701447	-3.29808702432011	0.00718508390606985	0.999691296273799	-4.42151811806489
ENSMUSG00000051124	Gimap9	chr6	-1.45289658841917	3.48877699690295	-3.29474479619171	0.00722763073763818	0.999691296273799	-4.42045310500526
ENSMUSG00000025931	Paqr8	chr1	-0.620308614786937	5.71585263320589	-3.29192089320406	0.00726377953580167	0.999691296273799	-4.07663304137809
ENSMUSG00000041354	Rgl2	chr17	-1.043912623336	5.63074860526645	-3.23985545354336	0.0079643194194483	0.999691296273799	-4.108420205937
ENSMUSG00000022150	Dab2	chr15	0.566309246912272	7.37701797422049	3.23835125991374	0.00798555140198626	0.999691296273799	-3.88134139534672
ENSMUSG00000026254	Eif4e2	chr1	-4.3313024042663	-1.54910043816806	-3.2328108498822	0.00806425358625574	0.999691296273799	-4.58521117922753
ENSMUSG00000024737	Slc15a3	chr19	-1.76975725735291	1.66125195725785	-3.20530536707371	0.00846681850241543	0.999691296273799	-4.53907716478422
ENSMUSG00000021939	Ctsb	chr14	-0.915711454697545	5.42763147757899	-3.20033887215572	0.00854165733177894	0.999691296273799	-4.15304949349554
ENSMUSG00000035279	Ssc5d	chr7	0.796020686312242	5.47226170517461	3.15854247998568	0.00919871950597769	0.999691296273799	-4.1005969907097
ENSMUSG00000048996	Or1f12	chr13	-0.971372452385631	6.25908439334239	-3.13061584593835	0.00966612158194267	0.999691296273799	-4.02475778583022
ENSMUSG00000024327	Slc39a7	chr17	-4.27300001600464	-1.54560020643032	-3.12824648669944	0.00970686889178919	0.999691296273799	-4.5858051669171
ENSMUSG00000014030	Pax5	chr4	-0.933424757465216	8.37868372996835	-3.1280034364886	0.00971105860805397	0.999691296273799	-3.88776486921665
ENSMUSG00000049119	Fam110b	chr4	0.612029406007123	5.20508375361829	3.10713859118379	0.010077645489791	0.999691296273799	-4.169632406522
ENSMUSG00000028339	Col15a1	chr4	0.677894442800172	8.36680837699387	3.1047994021374	0.0101196085605849	0.999691296273799	-3.88962757420517
ENSMUSG00000086545	Lrrc3c	chr11	-0.917000063699223	3.85389569048525	-3.10475596473257	0.0101203894619807	0.999691296273799	-4.39926048044008
ENSMUSG00000024163	Mapk8ip3	chr17	0.707133526130577	7.19251577272547	3.10142647921317	0.0101804276532658	0.999691296273799	-3.93281583267268
ENSMUSG00000078317	F8a	chrX	3.70160879923304	0.0926845294798886	3.09860912541796	0.0102315125572113	0.999691296273799	-4.57682765252722
ENSMUSG00000048039	Isg20l2	chr3	-1.09430412789207	4.05208810777553	-3.09066094230611	0.0103770339430374	0.999691296273799	-4.37329243383222
ENSMUSG00000046794	Ppp1r3b	chr8	-4.46230695551389	-2.31110884294752	-3.07725700463929	0.0106272043416064	0.999691296273799	-4.58720988141798
ENSMUSG00000023964	Calcr	chr6	0.992264604588639	3.43416777165337	3.07637485873837	0.0106438810800261	0.999691296273799	-4.38281669012504
